c_number	mpn	row_text
C19077515	SMF24CA	SMF24CA | C19077515 | Extended | -55℃~+150℃ 1uA 200W@10/1000us 24V 29.5V 38.9V 5.1A@10/1000us Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1459163 | 1+ | 3000+ | $0.0139 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077516	SMF26CA	SMF26CA | C19077516 | Extended | -55℃~+150℃ 1uA 200W@10/1000us 26V 31.9V 4.8A@10/1000us 42.1V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 3933 | 1+ | 3000+ | $0.0153 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077517	SMF28CA	SMF28CA | C19077517 | Extended | -55℃~+150℃ 1uA 200W@10/1000us 28V 34.4V 4.4A@10/1000us 45.4V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 345625 | 1+ | 3000+ | $0.0152 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077518	SMF30A	SMF30A | C19077518 | Extended | -55℃~+150℃ 1 1uA 200W@10/1000us 30V 36.8V 4.1A 48.4V IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 627674 | 1+ | 3000+ | $0.0153 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077519	SMF30CA	SMF30CA | C19077519 | Extended | -55℃~+150℃ 1uA 200W@10/1000us 30V 36.8V 4.1A@10/1000us 48.4V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 151814 | 1+ | 3000+ | $0.0152 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077520	SMF33CA	SMF33CA | C19077520 | Extended | -55℃~+150℃ 1uA 200W@10/1000us 3.8A@10/1000us 33V 40.6V 53.3V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 4133 | 1+ | 3000+ | $0.0152 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077521	SMF36CA	SMF36CA | C19077521 | Extended | -55℃~+150℃ 1uA 200W@10/1000us 3.4A@10/1000us 36V 44.2V 58.1V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 14254 | 1+ | 3000+ | $0.0153 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077522	SMAJ3.3CA	SMAJ3.3CA | C19077522 | Extended | -55℃~+150℃ 3.3V 400W@10/1000us 43.8A@10/1000us 600uA 8V 9V Bidirectional IEC 61000-4-2 TVS SMA ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 28969 | 1+ | 5000+ | $0.0331 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.06 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077523	SMAJ5.0A	SMAJ5.0A | C19077523 | Extended | -55℃~+150℃ 1 400W@10/1000us 43.5A@10/1000us 5V 7V 800uA 9.2V IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 12629 | 1+ | 5000+ | $0.0199 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077524	SMAJ5.0CA	SMAJ5.0CA | C19077524 | Extended | -55℃~+150℃ 1 400W@10/1000us 43.5A@10/1000us 5V 7V 800uA 9.2V Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 425252 | 1+ | 5000+ | $0.0189 | Show More | Idle parts available | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
